wave, supergroup,trend,label, mortRate, logmortRate, smokeRate,logSmokeRate, wealth, logwealth, count, logcount,ageAve,logageAve
2,0,1,agecat1;3.0,0.004807692307692308,-5.337538079701318,0.344,-1.0671136216087387,9500.04208096591,9.15905150715418,208,5.337538079701318,57.47826086956522,4.051406804482482,
2,1,1,agecat1;3.0,0.021739130434782608,-3.828641396489095,0.125,-2.0794415416798357,23426.3325,10.0616159891601,46,3.828641396489095,72.37777777777778,4.281899315505914,
2,2,1,agecat1;3.0,0.0026041666666666665,-5.950642552587727,0.4125560538116592,-0.8853831944110784,6963.036124170354,8.848370882947236,384,5.950642552587727,54.532637075718014,3.998799367858848,
2,3,1,agecat1;3.0,0.0028653295128939827,-5.855071922202427,0.1368421052631579,-1.988927534139004,17959.953031099758,9.79589972665788,349,5.855071922202427,68.49425287356321,4.226749842092395,
2,4,1,agecat1;3.0,0.00392156862745098,-5.541263545158426,0.20207253886010362,-1.599128542775239,9472.058985366433,9.156101584444603,255,5.541263545158426,72.48818897637796,4.283423637918595,
2,5,1,agecat1;3.0,0.0031645569620253164,-5.755742213586912,0.2264957264957265,-1.4850292018055795,10658.162964876034,9.274081353120394,316,5.755742213586912,77.23492063492064,4.346851694586489,
2,6,1,agecat1;3.0,0.005154639175257732,-5.267858159063328,0.1826086956521739,-1.7004096906398272,2357.421875,7.765323875040161,194,5.267858159063328,83.80310880829016,4.428470104750882,
2,7,1,agecat1;3.0,0.003236245954692557,-5.733341276897745,0.46,-0.7765287894989963,5101.587776449783,8.537307098975333,309,5.733341276897746,54.574675324675326,3.9995699532598197,
2,8,1,agecat1;3.0,0.00546448087431694,-5.209486152841421,0.3114754098360656,-1.1664348850068706,6098.791377991203,8.715845895774578,183,5.209486152841421,72.49450549450549,4.283510772706021,
2,9,1,agecat1;3.0,0.02631578947368421,-3.6375861597263857,0.14285714285714285,-1.9459101490553135,19980.88888888889,9.902531540146319,38,3.6375861597263857,83.75675675675676,4.427916845143524,
2,10,1,agecat1;3.0,0.0034602076124567475,-5.666426688112432,0.19786096256684493,-1.620190704210362,15999.591402401478,9.680318463545927,289,5.666426688112432,72.46875,4.283155434455805,
2,11,1,agecat1;3.0,0.0031446540880503146,-5.762051382780177,0.2111801242236025,-1.5550438403683016,10554.396739130434,9.26429780461121,318,5.762051382780177,68.52681388012618,4.22722511217965,
2,12,1,agecat1;3.0,0.0018214936247723133,-6.3080984415095305,0.2672955974842767,-1.3194001262898605,11873.86675148127,9.382095192894763,549,6.3080984415095305,54.50729927007299,3.99833462426214,
2,13,1,agecat1;3.0,0.003968253968253968,-5.529429087511423,0.10650887573964497,-2.239526957026909,10520.344086021505,9.261066193553534,252,5.529429087511423,83.88844621513944,4.42948789499326,
2,14,1,agecat1;3.0,0.003215434083601286,-5.739792912179234,0.25268817204301075,-1.3755990720031426,19473.065480025773,9.876787532301881,311,5.739792912179234,57.52258064516129,4.052177577586513,
2,15,1,agecat1;3.0,0.004219409282700422,-5.4680601411351315,0.3875,-0.9480394301887354,4364.57429339172,8.381275936230487,237,5.4680601411351315,64.35169491525424,4.16436327270466,
2,16,1,agecat1;3.0,0.004149377593360996,-5.484796933490655,0.4107142857142857,-0.8898574748059995,4791.157039689429,8.474527214406761,241,5.484796933490655,60.375,4.100575111972737,
2,17,1,agecat1;3.0,0.009615384615384616,-4.6443908991413725,0.4057971014492754,-0.9019019944220554,10297.526545715333,9.239659004186528,104,4.6443908991413725,68.4368932038835,4.22591205354424,
2,18,1,agecat1;3.0,0.005128205128205128,-5.272999558563747,0.35036496350364965,-1.048779914920234,5043.14598540146,8.525785369784142,195,5.272999558563747,57.44845360824742,4.0508880867566415,
2,19,1,agecat1;3.0,0.004291845493562232,-5.4510384535657,0.2922077922077922,-1.2302901126433095,7087.38125,8.866071193045554,233,5.4510384535657,68.53017241379311,4.2272741214824,
2,20,1,agecat1;3.0,0.012658227848101266,-4.3694478524670215,0.08771929824561403,-2.4336133554004498,29639.72123015873,10.296870674175468,79,4.3694478524670215,77.25641025641026,4.3471298930006546,
2,21,1,agecat1;3.0,0.0030211480362537764,-5.802118375377063,0.25118483412322273,-1.3815662199239447,11110.668202764977,9.315661025088357,331,5.802118375377063,64.58181818181818,4.16793291887959,
2,22,1,agecat1;3.0,0.0034129692832764505,-5.680172609017068,0.271889400921659,-1.3023599096347402,6826.641122844362,8.828588048707488,293,5.680172609017068,68.46575342465754,4.226333670246507,
2,23,1,agecat1;3.0,0.0045871559633027525,-5.384495062789089,0.2550335570469799,-1.3663601462190733,5264.906633435583,8.568818690970302,218,5.384495062789089,77.16589861751152,4.345957631687845,
2,24,1,agecat1;3.0,0.009259259259259259,-4.68213122712422,0.44871794871794873,-0.8013607652001781,2336.830829821135,7.756550944165694,108,4.68213122712422,54.4392523364486,3.997085443971995,
2,25,1,agecat1;3.0,0.0029069767441860465,-5.840641657373398,0.15789473684210525,-1.845826690498331,7100.669603524229,8.86794436893799,344,5.840641657373398,77.24198250728863,4.346943124078267,
2,26,1,agecat1;3.0,0.0029069767441860465,-5.840641657373398,0.1111111111111111,-2.1972245773362196,14777.896,9.600887829835672,344,5.840641657373398,77.37609329446065,4.348677860720259,
2,27,1,agecat1;3.0,0.0033112582781456954,-5.71042701737487,0.21428571428571427,-1.540445040947149,8442.21790292645,9.041000337775074,302,5.71042701737487,64.53820598006645,4.1672573892134,
2,28,1,agecat1;3.0,0.004098360655737705,-5.497168225293202,0.328042328042328,-1.114612630014551,5984.081967213115,8.696858217289964,244,5.497168225293202,64.36213991769547,4.164525570758753,
2,29,1,agecat1;3.0,0.0033003300330033004,-5.713732805509369,0.3157894736842105,-1.1526795099383855,6487.59512195122,8.777647189709809,303,5.713732805509369,60.34437086092715,4.100067668312094,
2,30,1,agecat1;3.0,0.0036101083032490976,-5.6240175061873385,0.175,-1.742969305058623,13784.491687452937,9.531299448454696,277,5.6240175061873385,72.46376811594203,4.283086686818978,
2,32,1,agecat1;3.0,0.0021645021645021645,-6.135564891081739,0.19932432432432431,-1.612822010418341,19161.654098360657,9.860666378610704,462,6.135564891081739,60.511930585683295,4.102840545358839,
2,31,1,agecat1;3.0,0.01020408163265306,-4.584967478670572,0.4,-0.916290731874155,3577.5245901639346,8.182426384967831,98,4.584967478670572,60.30927835051546,4.099485961722519,
2,33,1,agecat1;3.0,0.0029411764705882353,-5.8289456176102075,0.24170616113744076,-1.4200325007517407,18006.852168642243,9.798507640475243,340,5.8289456176102075,60.35693215339233,4.100275806786109,
2,34,1,agecat1;3.0,0.003048780487804878,-5.793013608384143,0.115,-2.162823150618887,9941.829442015482,9.204506331208277,328,5.793013608384144,83.74923547400611,4.4278270419949255,
2,35,1,agecat1;3.0,0.011904761904761904,-4.430816798843313,0.12280701754385964,-2.097141118779237,1582.4103137600807,7.366704478643011,84,4.430816798843313,84.02409638554217,4.431103619438998,
2,36,1,agecat1;3.0,0.009345794392523364,-4.672828834461907,0.3918918918918919,-0.9367692632176957,3965.2731516768295,8.285330022409038,107,4.672828834461906,72.43396226415095,4.282675281448676,
2,37,1,agecat1;3.0,0.007575757575757576,-4.882801922586371,0.43956043956043955,-0.8219800524029137,14931.202380952382,9.6112084218486,132,4.882801922586371,57.541984732824424,4.052514850625929,
2,38,1,agecat1;3.0,0.019230769230769232,-3.951243718581427,0.07407407407407407,-2.6026896854443837,6704.0,8.810459642161918,52,3.9512437185814275,68.11764705882354,4.221236314076725,
2,39,1,agecat1;3.0,0.0125,-4.382026634673881,0.28846153846153844,-1.2431935174792175,17978.618181818183,9.796938452003197,80,4.382026634673881,54.74683544303797,4.002719566898958,
2,40,1,agecat1;3.0,0.01818181818181818,-4.007333185232471,0.20588235294117646,-1.580450375560848,38033.34210526316,10.546218477819975,55,4.007333185232471,57.425925925925924,4.050495872536175,
2,41,1,agecat1;3.0,0.0049504950495049506,-5.308267697401205,0.09395973154362416,-2.3648889763302003,10356.8237500313,9.245400880971,202,5.308267697401205,83.58706467661692,4.425888779370327,
2,42,1,agecat1;3.0,0.01818181818181818,-4.007333185232471,0.45714285714285713,-0.7827593392496325,5740.363636363636,8.655277838589868,55,4.007333185232471,57.44444444444444,4.05081829717221,
2,43,1,agecat1;3.0,0.010526315789473684,-4.553876891600541,0.21212121212121213,-1.550597412411167,2597.846153846154,7.862437978327854,95,4.553876891600541,77.11702127659575,4.345324025030874,
2,44,1,agecat1;3.0,0.003875968992248062,-5.552959584921617,0.4437869822485207,-0.812410601386763,5956.65294117647,8.692264015259397,258,5.552959584921617,54.68482490272373,4.001586246856923,
