wave, supergroup,trend,label, mortRate, logmortRate, smokeRate,logSmokeRate, wealth, logwealth, count, logcount,ageAve,logageAve
2,36,1,agecat1;2;3.0,0.015873016,-4.143134726,0.234234234,-1.451433663,59744.25917,10.99782838,252,6.417607546,65.45454361,4.960185247
2,37,1,agecat1;2;3.0,0.014634146,-4.22439769,0.325396825,-1.12270984,40825.2381,10.61705575,205,5.552822347,64.89366979,4.724047431
2,38,1,agecat1;2;3.0,0.009009009,-4.709530201,0.31092437,-1.16820558,42674.90226,10.66136626,222,5.65347276,60.89685672,4.635513838
2,39,1,agecat1;2;3.0,0.015873016,-4.143134726,0.128205128,-2.054123734,62031.3,11.03539438,63,5.073679223,73.04228461,4.448821348
2,40,1,agecat1;2;3.0,0.073170732,-2.614959778,0.423076923,-0.860201265,24653.1,10.11265793,41,3.781029887,60.52033442,4.412702135
2,41,1,agecat1;2;3.0,0.009259259,-4.682131227,0.191489362,-1.652923024,53825.40971,10.89350093,216,5.586066351,73.00568855,4.288650841
2,42,1,agecat1;2;3.0,0.012244898,-4.402645922,0.172661871,-1.756420103,124547.2261,11.73244025,245,6.414330521,61.09059025,4.216427409
2,43,1,agecat1;2;3.0,0.016666667,-4.094344562,0.28,-1.272965676,35220.37838,10.46938013,60,4.63528501,61.01164368,4.989317597
2,44,1,agecat1;2;3.0,0.006968641,-4.966335035,0.22972973,-1.470851749,80422.9904,11.29505536,287,5.97354091,61.20555397,4.223736251
2,45,1,agecat1;2;3.0,0.00729927,-4.919980926,0.325203252,-1.123304901,115416.8144,11.65630533,274,5.768328789,54.66474295,4.865759815
2,46,1,agecat1;2;3.0,0.038327526,-3.261586943,0.07826087,-2.547707551,36151.66667,10.49547833,287,6.226623673,84.27709866,4.462605376
2,47,1,agecat1;2;3.0,0.074626866,-2.595254707,0.151515152,-1.887069649,12028.5,9.395034113,67,4.919028657,84.65629491,5.018019166
2,48,1,agecat1;2;3.0,0.034482759,-3.36729583,0.428571429,-0.84729786,14106.38776,9.554383006,87,5.193746803,73.48188128,4.349207284
2,49,1,agecat1;2;3.0,0.024390244,-3.713572067,0.209302326,-1.563975538,29665.04,10.29772453,82,4.691104497,72.70714731,5.106506015
2,50,1,agecat1;2;3.0,0.010989011,-4.510859507,0.317073171,-1.148622709,41808.1087,10.64084559,91,5.016072744,57.62140797,4.434265509
2,51,1,agecat1;2;3.0,0.022727273,-3.784189634,0.083333333,-2.48490665,182284.0971,12.11332172,44,3.954113207,68.34933461,4.904320261
2,52,1,agecat1;2;3.0,0.076923077,-2.564949357,0.19047619,-1.658228077,37536.54167,10.53307018,39,4.443796081,58.29845261,4.676847885
2,53,1,agecat1;2;3.0,0.015384615,-4.17438727,0.315789474,-1.15267951,89611.63457,11.40324044,65,4.650051744,54.97005544,4.973748515
2,54,1,agecat1;2;3.0,0.004545455,-5.393627546,0.215686275,-1.53393036,120016.5123,11.69538461,220,5.528899849,60.58938886,4.244946771
2,55,1,agecat1;2;3.0,0.031578947,-3.455264603,0.342105263,-1.072636802,35832.08197,10.48659892,95,5.549977031,77.83068701,5.141505717
