wave, supergroup,trend,label, mortRate, logmortRate, smokeRate,logSmokeRate, wealth, logwealth, count, logcount,ageAve,logageAve
2,0,1,agecat1;3.0,0.014285714285714285,-4.248495242049359,0.3047619047619048,-1.1882244473577968,74319.97374441964,11.216135020210205,210,5.3471075307174685,57.47846889952153,4.051410423756564,
2,1,1,agecat1;3.0,0.021739130434782608,-3.828641396489095,0.13636363636363635,-1.9924301646902063,105906.94871794872,11.570316145281526,46,3.828641396489095,72.37777777777778,4.281899315505914,
2,2,1,agecat1;3.0,0.0026041666666666665,-5.950642552587727,0.3924731182795699,-0.9352872325648102,82397.49949475145,11.319310369499634,384,5.950642552587727,54.532637075718014,3.998799367858848,
2,3,1,agecat1;3.0,0.011363636363636364,-4.477336814478207,0.125,-2.0794415416798357,87386.4619954427,11.37809565256852,352,5.863631175598097,68.4985754985755,4.226812949410713,
2,4,1,agecat1;3.0,0.00392156862745098,-5.541263545158426,0.2097902097902098,-1.561647248597752,23946.539393939394,10.083579099452788,255,5.541263545158426,72.48818897637796,4.283423637918595,
2,5,1,agecat1;3.0,0.021739130434782608,-3.828641396489095,0.23076923076923078,-1.466337068793427,31524.21052631579,10.358511117738127,322,5.7745515455444085,77.2367601246106,4.346875511116237,
2,6,1,agecat1;3.0,0.05392156862745098,-2.920224721045846,0.13157894736842105,-2.0281482472922856,13841.568965517241,9.535431587306878,204,5.318119993844216,83.82758620689656,4.428762144329649,
2,7,1,agecat1;3.0,0.003236245954692557,-5.733341276897745,0.46405228758169936,-0.76775804435112,30928.456521739132,10.339431962130014,309,5.733341276897746,54.574675324675326,3.9995699532598197,
2,8,1,agecat1;3.0,0.031914893617021274,-3.4446824936018943,0.2777777777777778,-1.2809338454620642,28358.831932773108,10.25269379266009,188,5.236441962829949,72.475935828877,4.283254587161429,
2,9,1,agecat1;3.0,0.02631578947368421,-3.6375861597263857,0.13636363636363635,-1.9924301646902063,87474.13793103448,11.379098462154856,38,3.6375861597263857,83.75675675675676,4.427916845143524,
2,10,1,agecat1;3.0,0.02040816326530612,-3.891820298110627,0.18238993710691823,-1.7016083722337576,68282.3097717762,11.131406004276709,294,5.683579767338681,72.46757679180887,4.283139245164726,
2,11,1,agecat1;3.0,0.0031446540880503146,-5.762051382780177,0.20454545454545456,-1.5869650565820417,51730.53923983111,10.853803587065231,318,5.762051382780177,68.52681388012618,4.22722511217965,
2,12,1,agecat1;3.0,0.0036363636363636364,-5.616771097666572,0.2546816479400749,-1.3677409532241427,104392.23015467965,11.555910527855335,550,6.309918278226516,54.510018214936245,3.998384505233834,
2,13,1,agecat1;3.0,0.03461538461538462,-3.3634570536793085,0.08527131782945736,-2.4619171315633017,63638.893258426964,11.060980091640966,260,5.560681631015528,83.89189189189189,4.429528968658885,
2,14,1,agecat1;3.0,0.003215434083601286,-5.739792912179234,0.22929936305732485,-1.472726866892198,139766.3304111463,11.84772723865298,311,5.739792912179234,57.52258064516129,4.052177577586513,
2,15,1,agecat1;3.0,0.016666666666666666,-4.0943445622221,0.35964912280701755,-1.0226263816901877,41477.83552631579,10.632914479842052,240,5.480638923341991,64.3723849372385,4.164684735824632,
2,16,1,agecat1;3.0,0.004149377593360996,-5.484796933490655,0.3543307086614173,-1.0375245966882716,31545.47404938811,10.359185404410749,241,5.484796933490655,60.375,4.100575111972737,
2,17,1,agecat1;3.0,0.046296296296296294,-3.0726933146901194,0.39215686274509803,-0.9360933591703348,30480.574074074073,10.324844844074466,108,4.68213122712422,68.4392523364486,4.225946524599164,
2,18,1,agecat1;3.0,0.005128205128205128,-5.272999558563747,0.3416666666666667,-1.073919676077738,56673.308926841084,10.945058636851009,195,5.272999558563747,57.44845360824742,4.0508880867566415,
2,19,1,agecat1;3.0,0.008547008547008548,-4.762173934797756,0.2966101694915254,-1.2153365629762511,29381.012040150315,10.288103895702003,234,5.455321115357702,68.53218884120172,4.227303544985545,
2,20,1,agecat1;3.0,0.025,-3.6888794541139363,0.10869565217391304,-2.2192034840549946,107940.96428571429,11.589339729667234,80,4.382026634673881,77.25316455696202,4.347087880077473,
2,21,1,agecat1;3.0,0.006024096385542169,-5.111987788356543,0.24725274725274726,-1.3973441973064755,104185.52664032567,11.553928498848997,332,5.805134968916488,64.58006042296073,4.1679057009593095,
2,22,1,agecat1;3.0,0.020134228187919462,-3.9053340172773496,0.24848484848484848,-1.3923734071962728,40332.71428571428,10.604918187504907,298,5.697093486505405,68.47474747474747,4.226465027296376,
2,23,1,agecat1;3.0,0.07659574468085106,-2.5692137562479944,0.22549019607843138,-1.4894785973551214,16998.13076923077,9.740858662241756,235,5.459585514144159,77.18376068376068,4.346189081065962,
2,24,1,agecat1;3.0,0.009259259259259259,-4.68213122712422,0.45161290322580644,-0.7949298748698876,24392.770833333332,10.102042090060092,108,4.68213122712422,54.4392523364486,3.997085443971995,
2,25,1,agecat1;3.0,0.028328611898016998,-3.563882963939251,0.17751479289940827,-1.7287013332609182,44820.28624535316,10.710416133888588,353,5.8664680569332965,77.24431818181819,4.346973362028419,
2,26,1,agecat1;3.0,0.022792022792022793,-3.7813446817860297,0.105,-2.2537949288246137,73540.42222222222,11.205590496234242,351,5.860786223465865,77.38571428571429,4.34880219360854,
2,27,1,agecat1;3.0,0.016339869281045753,-4.11414718951828,0.2206896551724138,-1.5109978396208479,60223.616089876035,11.00581984822156,306,5.723585101952381,64.54754098360655,4.167402021812675,
2,28,1,agecat1;3.0,0.012195121951219513,-4.406719247264253,0.3333333333333333,-1.0986122886681098,41533.5816993464,10.634257576569558,246,5.5053315359323625,64.36326530612244,4.16454305586086,
2,29,1,agecat1;3.0,0.009836065573770493,-4.621699487939302,0.29936305732484075,-1.2060982036382495,42766.1172896984,10.663501415938029,305,5.720311776607412,60.348684210526315,4.1001391446633795,
2,30,1,agecat1;3.0,0.007194244604316547,-4.9344739331306915,0.16666666666666666,-1.791759469228055,55648.94088541667,10.92681832481399,278,5.627621113690637,72.46931407942239,4.283163218186407,
2,31,1,agecat1;3.0,0.03,-3.506557897319982,0.34,-1.0788096613719298,31512.56140350877,10.358141520038783,100,4.605170185988092,60.313131313131315,4.099549846412403,
2,32,1,agecat1;3.0,0.00646551724137931,-5.041272263558145,0.1875,-1.6739764335716716,122422.20101631636,11.715231013465102,464,6.139884552226255,60.505399568034555,4.102732610112758,
2,33,1,agecat1;3.0,0.008771929824561403,-4.736198448394496,0.2087912087912088,-1.5664205273504095,76311.56287955465,11.242579750739065,342,5.834810737062605,60.354838709677416,4.100241121788943,
2,34,1,agecat1;3.0,0.03823529411764706,-3.2639962601486703,0.07746478873239436,-2.55793178480289,34568.42608695652,10.450696003587543,340,5.8289456176102075,83.8023598820059,4.428461167974652,
2,35,1,agecat1;3.0,0.056818181818181816,-2.867898902044106,0.14285714285714285,-1.9459101490553135,11884.57142857143,9.382996319284755,88,4.477336814478207,84.1264367816092,4.432320866946643,
2,36,1,agecat1;3.0,0.03636363636363636,-3.3141860046725258,0.40350877192982454,-0.9075570519054005,15938.016129032258,9.676462485943143,110,4.700480365792417,72.43119266055047,4.282637044460599,
2,37,1,agecat1;3.0,0.007575757575757576,-4.882801922586371,0.3898305084745763,-0.9420432279765697,39513.35,10.58439386847218,132,4.882801922586371,57.541984732824424,4.052514850625929,
2,38,1,agecat1;3.0,0.019230769230769232,-3.951243718581427,0.08,-2.5257286443082556,184552.5909722222,12.125689747764753,52,3.9512437185814275,68.11764705882354,4.221236314076725,
2,39,1,agecat1;3.0,0.0125,-4.382026634673881,0.3111111111111111,-1.1676051601550612,114241.12445175438,11.646066620414977,80,4.382026634673881,54.74683544303797,4.002719566898958,
2,40,1,agecat1;3.0,0.01818181818181818,-4.007333185232471,0.2413793103448276,-1.4213856809311607,142967.54921875,11.870372954949657,55,4.007333185232471,57.425925925925924,4.050495872536175,
2,41,1,agecat1;3.0,0.028985507246376812,-3.5409593240373143,0.09574468085106383,-2.3460702049337847,17213.291666666668,9.753437135685356,207,5.332718793265369,83.55825242718447,4.425544022481925,
2,42,1,agecat1;3.0,0.01818181818181818,-4.007333185232471,0.44,-0.8209805520698302,29372.40740740741,10.287810989080215,55,4.007333185232471,57.44444444444444,4.05081829717221,
2,43,1,agecat1;3.0,0.030927835051546393,-3.4760986898352733,0.24,-1.4271163556401458,15473.921875,9.646911426305133,97,4.574710978503383,77.13541666666667,4.3455625352340626,
2,44,1,agecat1;3.0,0.007722007722007722,-4.863680881139593,0.43795620437956206,-0.8256363636060242,31464.299693080357,10.356608839017985,259,5.556828061699537,54.68604651162791,4.001608585691541,
2,45,1,agecat1;3.0,0.013157894736842105,-4.330733340286331,0.18604651162790697,-1.6817585740137264,128851.70770263672,11.76641746940857,76,4.330733340286331,60.733333333333334,4.106492696157749,
2,46,1,agecat1;3.0,0.01,-4.605170185988091,0.3269230769230769,-1.1180303745252114,35954.346153846156,10.490005250246675,100,4.605170185988092,64.65656565656566,4.169089657007413,
2,47,1,agecat1;3.0,0.015151515151515152,-4.189654742026425,0.21052631578947367,-1.55814461804655,176813.8076923077,12.082852523943375,66,4.189654742026425,64.4,4.165113633110308,
3,0,2,agecat5;2.0,0.004761904761904762,-5.3471075307174685,0.23469387755102042,-1.4494732627414222,75023.27816772461,11.225553719931575,210,5.3471075307174685,59.47846889952153,4.085614379826905,
3,1,2,agecat5;2.0,0.021739130434782608,-3.828641396489095,0.05,-2.995732273553991,124145.55555555556,11.729209991306835,46,3.828641396489095,74.37777777777778,4.309157211441007,
3,2,2,agecat5;2.0,0.0078125,-4.852030263919617,0.36416184971098264,-1.0101568681062463,73728.22928702731,11.208141034515014,384,5.950642552587727,56.532637075718014,4.034818118736222,
3,3,2,agecat5;2.0,0.014204545454545454,-4.254193263163997,0.14,-1.9661128563728327,83948.309375,11.337956523827621,352,5.863631175598097,70.4985754985755,4.255592503920121,
3,4,2,agecat5;2.0,0.06666666666666667,-2.70805020110221,0.16379310344827586,-1.8091512119399242,33118.53125,10.407848261199444,255,5.541263545158426,74.48818897637796,4.310640575587333,
3,5,2,agecat5;2.0,0.062111801242236024,-2.7788192719904172,0.21052631578947367,-1.55814461804655,25295.57738095238,10.138384852358092,322,5.7745515455444085,79.2367601246106,4.37244033412685,
3,6,2,agecat5;2.0,0.07352941176470588,-2.6100697927420065,0.14285714285714285,-1.9459101490553135,17444.206298828125,9.766762855241506,204,5.318119993844216,85.82758620689656,4.452340472381118,
3,7,2,agecat5;2.0,0.009708737864077669,-4.634728988229636,0.4153846153846154,-0.878550403891308,36242.319169056565,10.497982752840482,309,5.733341276897746,56.574675324675326,4.03556145265515,
3,8,2,agecat5;2.0,0.031914893617021274,-3.4446824936018943,0.24615384615384617,-1.4017985476558559,35746.70972222222,10.484213508144569,188,5.236441962829949,74.475935828877,4.310476064198506,
3,9,2,agecat5;2.0,0.13157894736842105,-2.0281482472922856,0.15789473684210525,-1.845826690498331,161593.84799592392,11.992841355012322,38,3.6375861597263857,85.75675675675676,4.451514878938971,
3,10,2,agecat5;2.0,0.03741496598639456,-3.285684494540311,0.12121212121212122,-2.1102132003465894,77171.28141447369,11.253782664399619,294,5.683579767338681,74.46757679180887,4.310363819805583,
3,11,2,agecat5;2.0,0.0220125786163522,-3.8161412337248635,0.21428571428571427,-1.540445040947149,61200.20476190476,11.021905814277577,318,5.762051382780177,70.52681388012618,4.255992976232979,
3,12,2,agecat5;2.0,0.00909090909090909,-4.700480365792417,0.20647773279352227,-1.5775627039036515,104528.6497413429,11.557216473016199,550,6.309918278226516,56.510018214936245,4.034417935972902,
3,13,2,agecat5;2.0,0.07307692307692308,-2.6162426518490873,0.06363636363636363,-2.754570216737103,87453.44370860927,11.378861858843614,260,5.560681631015528,85.89189189189189,4.453089434452437,
3,14,2,agecat5;2.0,0.01607717041800643,-4.130354999745133,0.19863013698630136,-1.6163107917218624,125535.9656401699,11.740347575304249,311,5.739792912179234,59.52258064516129,4.086355747198519,
3,15,2,agecat5;2.0,0.016666666666666666,-4.0943445622221,0.29473684210526313,-1.221672381425337,42093.55505371094,10.64764992134133,240,5.480638923341991,66.3723849372385,4.195281080476945,
3,16,2,agecat5;2.0,0.024896265560165973,-3.6930374642626003,0.3130434782608696,-1.16141318990714,45441.40157480315,10.724178897435266,241,5.484796933490655,62.375,4.133164554071683,
3,17,2,agecat5;2.0,0.05555555555555555,-2.890371757896165,0.3409090909090909,-1.0761394328160512,22758.33962264151,10.032686934025637,108,4.68213122712422,70.4392523364486,4.254750669381564,
3,18,2,agecat5;2.0,0.015384615384615385,-4.174387269895637,0.34579439252336447,-1.0619109218176819,48447.187148085584,10.788229558834493,195,5.272999558563747,59.44845360824742,4.08510961116261,
3,19,2,agecat5;2.0,0.02564102564102564,-3.6635616461296463,0.3238095238095238,-1.127599825541362,39828.968412769784,10.592349776085573,234,5.455321115357702,70.53218884120172,4.256069184925432,
3,20,2,agecat5;2.0,0.075,-2.5902671654458267,0.08333333333333333,-2.4849066497880004,124585.37525972407,11.732746504929215,80,4.382026634673881,79.25316455696202,4.372647343278289,
3,21,2,agecat5;2.0,0.02108433734939759,-3.859224819861175,0.2236842105263158,-1.497519996230115,130258.74489868722,11.777278096699199,332,5.805134968916488,66.58006042296073,4.198405139670659,
3,22,2,agecat5;2.0,0.030201342281879196,-3.499868909169185,0.19310344827586207,-1.6445292322453704,49837.91715976331,10.816531362053642,298,5.697093486505405,70.47474747474747,4.255254453804647,
3,23,2,agecat5;2.0,0.05106382978723404,-2.9746788643561586,0.1839080459770115,-1.6933193964148026,19079.71336659664,9.856380922174374,235,5.459585514144159,79.18376068376068,4.371771235924713,
3,24,2,agecat5;2.0,0.009259259259259259,-4.68213122712422,0.48,-0.7339691750802004,62089.48648648649,11.036331953854235,108,4.68213122712422,56.4392523364486,4.033164879845995,
3,25,2,agecat5;2.0,0.053824362606232294,-2.9220290777668563,0.14388489208633093,-1.9387416595767009,43037.28902953587,10.669822205619914,353,5.8664680569332965,79.24431818181819,4.372535715320542,
3,26,2,agecat5;2.0,0.05413105413105413,-2.916347244299425,0.11695906432748537,-2.145931282948669,87759.45200407608,11.38235485067342,351,5.860786223465865,79.38571428571429,4.374318431230562,
3,27,2,agecat5;2.0,0.013071895424836602,-4.33729074083249,0.15447154471544716,-1.867745376205977,74623.86473429951,11.220215637638475,306,5.723585101952381,66.54754098360655,4.197916594250215,
3,28,2,agecat5;2.0,0.02032520325203252,-3.8958936234982624,0.288,-1.2447947988461912,45158.06428571429,10.717924153875366,246,5.5053315359323625,66.36326530612244,4.195143670050828,
