wave, supergroup,trend,label, mortRate, logmortRate, smokeRate,logSmokeRate, wealth, logwealth, count, logcount,ageAve,logageAve
2,0,1,agecat1;2;3.0,0.005813953488372093,-5.147494476813453,0.3411764705882353,-1.0753554265038423,81930.33900188578,11.313624640828824,172,5.147494476813453,57.46783625730994,4.051225421859767,
2,1,1,agecat1;2;3.0,0.02564102564102564,-3.6635616461296463,0.11764705882352941,-2.1400661634962708,90266.1875,11.410518222992415,39,3.6635616461296463,72.34210526315789,4.28140632843886,
2,2,1,agecat1;2;3.0,0.0031746031746031746,-5.752572638825633,0.41379310344827586,-0.8823891801984737,89443.6907614384,11.401364552759347,315,5.752572638825633,54.59235668789809,3.999893885550575,
2,3,1,agecat1;2;3.0,0.011904761904761904,-4.430816798843313,0.18181818181818182,-1.7047480922384253,80614.10026978418,11.297428854506732,168,5.123963979403259,68.5688622754491,4.2278385289965845,
2,4,1,agecat1;2;3.0,0.004975124378109453,-5.303304908059076,0.19298245614035087,-1.6451559950361796,18785.889763779527,9.840861322538709,201,5.303304908059076,72.5,4.283586561860629,
2,5,1,agecat1;2;3.0,0.021929824561403508,-3.8199077165203406,0.20454545454545456,-1.5869650565820417,29748.66891891892,10.3005396677516,228,5.429345628954441,77.19383259911895,4.346319565227017,
2,6,1,agecat1;2;3.0,0.05714285714285714,-2.8622008809294686,0.13636363636363635,-1.9924301646902063,12620.825,9.443103506383244,140,4.941642422609304,83.82014388489209,4.42867335908925,
2,7,1,agecat1;2;3.0,0.014285714285714285,-4.248495242049359,0.5357142857142857,-0.6241543090729939,38085.83783783784,10.547597781720427,70,4.248495242049359,54.3768115942029,3.9959378055288557,
2,8,1,agecat1;2;3.0,0.004166666666666667,-5.480638923341991,0.4523809523809524,-0.7932306391169278,29126.938775510203,10.279418756051983,240,5.480638923341991,54.63179916317991,4.000616115476528,
2,9,1,agecat1;2;3.0,0.04672897196261682,-3.0633909220278057,0.3541666666666667,-1.0379876668516748,27412.304347826088,10.218747255366466,107,4.672828834461906,72.55660377358491,4.284366998944987,
2,10,1,agecat1;2;3.0,0.030303030303030304,-3.4965075614664802,0.15,-1.8971199848858813,92274.07692307692,11.432518524305243,33,3.4965075614664802,83.5625,4.425594854862162,
2,11,1,agecat1;2;3.0,0.018633540372670808,-3.982792076316353,0.12121212121212122,-2.1102132003465894,80500.92380459329,11.296023939174265,161,5.081404364984463,72.38125,4.28194728795055,
2,12,1,agecat1;2;3.0,0.0038022813688212928,-5.572154032177765,0.1836734693877551,-1.6945957207744071,51205.443999199866,10.843601133484539,263,5.572154032177765,68.57633587786259,4.227947517171475,
2,13,1,agecat1;2;3.0,0.0036101083032490976,-5.6240175061873385,0.2,-1.6094379124341003,93477.8917578125,11.445480235529546,277,5.6240175061873385,54.42391304347826,3.996803635280904,
2,14,1,agecat1;2;3.0,0.014285714285714285,-4.248495242049359,0.3333333333333333,-1.0986122886681098,52944.42,10.876997963040173,70,4.248495242049359,54.26086956521739,3.993803333000223,
2,15,1,agecat1;2;3.0,0.04225352112676056,-3.164067588373206,0.04597701149425287,-3.079613757534693,81154.60204081633,11.304111281634416,142,4.955827057601261,83.66666666666667,4.426840650463674,
2,16,1,agecat1;2;3.0,0.006211180124223602,-5.081404364984463,0.273972602739726,-1.2947271675944,113978.57912946428,11.64376580734765,161,5.081404364984463,57.51875,4.05211098160503,
2,17,1,agecat1;2;3.0,0.013513513513513514,-4.304065093204169,0.43283582089552236,-0.8373967894044921,37250.03,10.525408029176509,148,4.997212273764115,64.40136054421768,4.165134759350154,
2,18,1,agecat1;2;3.0,0.006211180124223602,-5.081404364984463,0.4166666666666667,-0.8754687373538999,32656.237890625,10.393791169767857,161,5.081404364984463,60.4,4.100989104940769,
2,19,1,agecat1;2;3.0,0.04,-3.2188758248682006,0.41935483870967744,-0.8690378470236094,31721.0,10.364734201103053,75,4.31748811353631,68.37837837837837,4.2250566690773415,
2,20,1,agecat1;2;3.0,0.016216216216216217,-4.121743536410215,0.0970873786407767,-2.33214389523559,93704.30279991611,11.447899388195827,185,5.220355825078324,68.43478260869566,4.225881213048199,
2,21,1,agecat1;2;3.0,0.006756756756756757,-4.997212273764115,0.3333333333333333,-1.0986122886681098,62011.121212121216,11.03506902233062,148,4.997212273764115,57.48299319727891,4.051489133572483,
2,22,1,agecat1;2;3.0,0.016260162601626018,-4.119037174812472,0.23636363636363636,-1.4423838277709342,26828.86746987952,10.197233731193656,123,4.812184355372417,68.61475409836065,4.2285075859268,
2,23,1,agecat1;2;3.0,0.029411764705882353,-3.5263605246161616,0.10256410256410256,-2.277267285009756,95802.60869565218,11.470045194231755,68,4.219507705176107,77.2089552238806,4.346515450612549,
2,24,1,agecat1;2;3.0,0.017857142857142856,-4.02535169073515,0.2857142857142857,-1.252762968495368,54568.89189189189,10.907219253796569,56,4.02535169073515,68.2909090909091,4.223776655095683,
2,25,1,agecat1;2;3.0,0.08823529411764706,-2.4277482359480516,0.38095238095238093,-0.9650808960435872,27780.823529411766,10.232101260556188,34,3.5263605246161616,68.57575757575758,4.227939084167057,
2,26,1,agecat1;2;3.0,0.011695906432748537,-4.448516375942715,0.2857142857142857,-1.252762968495368,100328.1544117647,11.5162016365722,171,5.14166355650266,64.51764705882353,4.166938784191888,
2,27,1,agecat1;2;3.0,0.03361344537815126,-3.392829131991639,0.18604651162790697,-1.6817585740137264,42182.15,10.649752424758393,119,4.77912349311153,84.16101694915254,4.432731832437693,
